,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
1953,NORTH CAROLINA,PASQUOTANK COUNTY,"39,639",-2.5%,"40,661","40,661",6.2%,22.3%,16.9%,51.1%,58.6%,36.5%,0.6%,1.6%,0.1%,2.6%,5.7%,54.5%,"3,630",3.9%,"17,254",61.0%,"$158,700","$1,364",$462,$864,16.3%,136,"14,780",2.51,87.2%,7.0%,84.4%,74.0%,86.5%,20.5%,10.2%,12.2%,55.5%,52.7%,"76,883","225,144",,"176,254","698,264","$17,202",28.1,"$48,279","$23,699",18.2%,914,"11,123","398,720",-1.0%,"2,697","3,040","1,646","1,129",934,"1,952",502,"2,352",14.3%,0.0%,5.3%,0.0%,0.0%,27.0%,179.2,226.88,"PASQUOTANK COUNTY, NORTH CAROLINA",37139
1954,NORTH CAROLINA,PENDER COUNTY,"62,162",19.1%,"52,198","52,217",5.7%,22.2%,18.0%,50.1%,81.2%,15.1%,0.9%,0.7%,0.1%,2.1%,7.4%,75.2%,"4,735",4.0%,"29,625",80.5%,"$179,500","$1,387",$405,$895,6.8%,532,"21,766",2.66,86.6%,7.5%,88.1%,75.3%,87.5%,26.4%,12.5%,13.7%,57.5%,53.7%,"50,456","97,306","191,360","179,439","386,690","$7,135",28.3,"$52,989","$27,724",15.1%,"1,094","8,997","277,682",7.3%,"4,438","4,448","2,442","1,580",676,"3,644",360,"3,900",10.4%,0.0%,0.0%,0.0%,0.0%,32.3%,60.0,869.80,"PENDER COUNTY, NORTH CAROLINA",37141
1955,NORTH CAROLINA,PERQUIMANS COUNTY,"13,422",-0.2%,"13,453","13,453",4.5%,18.3%,26.8%,51.9%,74.1%,23.0%,0.6%,0.5%,,1.7%,2.6%,72.2%,"1,347",2.1%,"7,188",74.1%,"$169,900","$1,230",$454,$833,4.6%,38,"5,919",2.26,90.9%,1.9%,82.8%,69.3%,86.5%,20.4%,8.9%,12.4%,50.8%,46.0%,"8,590","8,933",,"36,791","66,360","$4,893",32.4,"$45,915","$25,809",15.8%,209,"1,332","44,628",0.5%,944,"1,128",706,339,162,934,72,"1,006",0.0%,0.0%,0.0%,0.0%,0.0%,22.3%,54.4,247.09,"PERQUIMANS COUNTY, NORTH CAROLINA",37143
1956,NORTH CAROLINA,PERSON COUNTY,"39,507",0.1%,"39,478","39,464",5.4%,20.9%,19.6%,51.6%,69.8%,27.1%,0.9%,0.4%,,1.8%,4.4%,66.1%,"2,486",3.0%,"18,534",75.2%,"$117,100","$1,083",$378,$711,6.9%,105,"15,744",2.46,90.7%,4.7%,82.6%,74.4%,86.3%,15.3%,14.4%,11.7%,61.7%,60.2%,"41,293","98,851","841,222","175,969","378,438","$9,637",31.7,"$48,811","$25,922",14.8%,700,"8,035","294,131",-4.5%,"2,202","2,287","1,186",830,390,"1,780",258,"1,909",0.0%,0.0%,0.0%,0.0%,1.6%,0.0%,100.6,392.32,"PERSON COUNTY, NORTH CAROLINA",37145
1957,NORTH CAROLINA,PITT COUNTY,"179,914",7.0%,"168,167","168,148",5.7%,21.3%,13.2%,53.0%,59.3%,35.7%,0.5%,2.2%,0.2%,2.1%,6.3%,54.3%,"10,434",4.7%,"80,265",52.4%,"$141,100","$1,285",$441,$778,33.5%,"1,150","69,169",2.47,78.3%,7.0%,87.7%,78.2%,89.4%,31.8%,8.9%,10.8%,64.0%,60.7%,"357,637","1,879,971","2,160,814","1,028,697","2,354,799","$13,647",20.9,"$44,315","$25,722",23.2%,"3,584","60,749","2,427,800",-0.8%,"10,573","13,055","6,426","4,782","3,786","8,742","1,245","11,023",18.7%,0.0%,0.0%,0.0%,1.7%,30.2%,257.9,651.98,"PITT COUNTY, NORTH CAROLINA",37147
1958,NORTH CAROLINA,POLK COUNTY,"20,611",0.4%,"20,521","20,510",3.7%,16.0%,31.1%,52.0%,92.8%,4.4%,0.6%,0.7%,,1.5%,6.1%,87.7%,"1,557",3.6%,"11,803",73.4%,"$212,300","$1,259",$386,$828,9.3%,79,"9,047",2.22,89.3%,5.6%,86.4%,76.3%,90.9%,31.7%,10.5%,14.3%,52.1%,50.1%,"14,416","104,400","78,166",,"100,771","$4,971",27.0,"$48,834","$30,344",11.8%,476,"3,948","121,103",1.3%,"2,031","2,163","1,255",701,88,"2,021",411,"1,677",0.0%,0.0%,0.0%,0.0%,0.0%,32.3%,86.3,237.79,"POLK COUNTY, NORTH CAROLINA",37149
1959,NORTH CAROLINA,RANDOLPH COUNTY,"143,351",1.1%,"141,823","141,752",5.6%,22.5%,17.7%,50.7%,88.9%,6.6%,1.1%,1.5%,0.1%,1.8%,11.7%,78.8%,"8,931",6.5%,"62,635",71.8%,"$120,800","$1,066",$338,$672,9.7%,354,"56,041",2.53,88.7%,12.0%,83.0%,71.0%,81.4%,15.8%,11.7%,15.0%,60.9%,55.8%,"158,579","363,922","4,557,254","836,640","1,107,887","$7,777",23.8,"$45,006","$24,127",13.8%,"2,523","39,187","1,357,856",0.2%,"9,794","11,207","6,353","3,524","1,285","9,635",907,"9,854",0.0%,0.0%,1.2%,0.0%,1.4%,27.3%,181.1,782.52,"RANDOLPH COUNTY, NORTH CAROLINA",37151
1960,NORTH CAROLINA,RICHMOND COUNTY,"44,887",-3.8%,"46,647","46,639",6.0%,22.9%,17.9%,51.0%,61.4%,32.0%,3.2%,0.9%,0.2%,2.3%,6.7%,56.6%,"2,769",4.0%,"21,707",66.1%,"$80,100",$926,$350,$642,9.2%,230,"18,546",2.36,87.1%,6.0%,78.0%,70.2%,80.3%,13.9%,13.2%,14.6%,53.4%,53.3%,"42,310","177,204","794,395",,"449,820","$9,647",22.3,"$36,091","$20,745",19.9%,805,"11,038","355,284",-8.5%,"2,006","2,708","1,315",963,703,"1,823",354,"2,162",0.0%,0.0%,0.0%,0.0%,0.0%,26.1%,98.4,473.82,"RICHMOND COUNTY, NORTH CAROLINA",37153
1961,NORTH CAROLINA,ROBESON COUNTY,"131,831",-1.8%,"134,229","134,168",6.6%,24.8%,15.2%,51.8%,30.9%,23.8%,41.7%,0.7%,0.2%,2.7%,9.0%,25.0%,"6,775",4.2%,"53,185",65.0%,"$74,600",$986,$351,$626,8.8%,106,"45,969",2.83,91.7%,7.8%,71.7%,54.2%,77.1%,13.2%,11.5%,18.6%,50.3%,47.3%,"139,055","580,993","3,081,397","604,365","1,395,642","$10,300",24.2,"$33,679","$17,881",24.5%,"1,815","31,627","1,009,214",-0.1%,"7,297","9,090","4,509","4,105","5,540","3,296","1,151","7,619",14.7%,26.2%,2.0%,0.0%,0.0%,31.7%,141.3,949.22,"ROBESON COUNTY, NORTH CAROLINA",37155
1962,NORTH CAROLINA,ROCKINGHAM COUNTY,"90,690",-3.2%,"93,641","93,643",5.1%,20.3%,20.5%,51.8%,77.6%,19.0%,0.6%,0.7%,0.1%,2.0%,6.2%,72.3%,"5,793",3.7%,"44,301",69.1%,"$111,400","$1,022",$334,$658,9.4%,208,"37,201",2.41,89.3%,6.0%,79.0%,68.4%,82.6%,15.0%,12.2%,13.0%,56.2%,51.4%,"91,128","287,512","4,268,306","397,593","866,255","$9,343",25.9,"$42,490","$23,604",17.9%,"1,652","22,538","760,525",1.7%,"4,916","6,193","3,278","2,139","1,011","4,982",521,"5,330",9.2%,0.0%,0.0%,0.0%,1.2%,24.6%,165.6,565.55,"ROCKINGHAM COUNTY, NORTH CAROLINA",37157
1963,NORTH CAROLINA,ROWAN COUNTY,"141,262",2.0%,"138,532","138,428",5.8%,22.2%,17.6%,50.6%,79.5%,16.8%,0.6%,1.3%,0.1%,1.7%,9.2%,71.7%,"9,507",4.5%,"61,982",69.1%,"$130,700","$1,087",$332,$758,11.4%,541,"52,301",2.59,87.1%,9.1%,85.7%,76.6%,85.3%,18.7%,11.1%,13.8%,59.4%,55.4%,"163,161","837,035","3,856,641","888,234","1,194,600","$8,645",24.8,"$48,667","$25,117",16.3%,"2,630","44,192","1,961,403",-0.2%,"9,276","10,575","5,618","3,463","1,546","8,537","1,090","8,759",6.4%,0.0%,1.9%,0.0%,3.1%,29.7%,270.7,511.37,"ROWAN COUNTY, NORTH CAROLINA",37159
1964,NORTH CAROLINA,RUTHERFORD COUNTY,"66,826",-1.5%,"67,816","67,810",5.1%,20.6%,21.6%,51.8%,87.0%,9.9%,0.4%,0.7%,0.1%,2.0%,4.6%,83.0%,"4,064",2.5%,"34,466",71.3%,"$114,800",$995,$296,$639,6.9%,150,"26,345",2.48,87.6%,4.3%,78.6%,66.6%,82.6%,17.3%,14.6%,13.6%,53.0%,47.3%,"71,845","245,843","672,462","165,979","600,079","$8,913",25.8,"$40,347","$22,493",19.1%,"1,260","15,861","512,921",0.1%,"4,134","5,034","2,879","1,510",470,"4,366",527,"4,235",4.4%,0.0%,0.0%,0.0%,0.0%,21.2%,120.2,564.15,"RUTHERFORD COUNTY, NORTH CAROLINA",37161
1965,NORTH CAROLINA,SAMPSON COUNTY,"63,626",0.2%,"63,473","63,431",6.4%,24.3%,17.8%,50.6%,66.5%,26.6%,3.6%,0.7%,0.3%,2.4%,20.4%,50.3%,"3,405",9.8%,"27,813",68.8%,"$88,800","$1,061",$375,$651,5.1%,120,"23,537",2.66,86.0%,16.9%,79.0%,59.6%,77.7%,12.8%,13.8%,18.7%,58.5%,51.9%,,"179,412","821,833","450,617","593,013","$9,273",25.1,"$39,068","$21,950",22.8%,974,"13,808","459,744",-0.9%,"3,516","3,605","2,109","1,206",945,"2,525",456,"2,958",17.1%,0.0%,0.0%,0.0%,0.0%,28.5%,67.1,944.74,"SAMPSON COUNTY, NORTH CAROLINA",37163
1966,NORTH CAROLINA,SCOTLAND COUNTY,"34,810",-3.7%,"36,160","36,157",6.3%,22.6%,18.3%,50.4%,45.1%,39.0%,12.4%,0.9%,,2.6%,3.1%,43.2%,"2,231",2.3%,"15,304",61.3%,"$84,500","$1,017",$376,$662,12.6%,20,"13,113",2.49,85.8%,3.8%,74.9%,58.1%,79.8%,15.5%,12.1%,14.2%,49.3%,49.4%,"43,786","236,006","984,247","564,505","351,715","$9,744",22.0,"$35,617","$18,242",26.9%,593,"9,606","326,231",-1.8%,"1,734","2,120",851,"1,054",994,985,247,"1,744",0.0%,10.6%,0.0%,0.0%,0.0%,24.5%,113.4,318.85,"SCOTLAND COUNTY, NORTH CAROLINA",37165
1967,NORTH CAROLINA,STANLY COUNTY,"62,075",2.5%,"60,586","60,585",5.8%,21.6%,18.9%,50.1%,84.1%,11.5%,0.5%,2.2%,0.3%,1.5%,4.4%,80.6%,"3,602",3.0%,"27,988",73.5%,"$134,100","$1,119",$362,$712,7.5%,272,"23,717",2.49,88.2%,5.9%,85.9%,77.3%,85.1%,15.8%,10.8%,12.9%,61.1%,56.8%,"70,639","251,354","832,859","177,657","618,069","$10,203",26.3,"$49,590","$24,671",13.2%,"1,334","16,253","542,727",1.4%,"3,934","4,331","2,550","1,061",392,"3,758",449,"3,451",0.0%,0.0%,0.0%,0.0%,0.0%,26.6%,153.3,395.09,"STANLY COUNTY, NORTH CAROLINA",37167
1968,NORTH CAROLINA,STOKES COUNTY,"45,467",-4.1%,"47,417","47,401",4.5%,18.7%,21.3%,50.8%,93.8%,4.0%,0.5%,0.4%,,1.3%,3.1%,91.2%,"3,213",1.5%,"22,313",77.7%,"$128,600","$1,070",$321,$650,4.6%,69,"19,302",2.35,92.8%,2.9%,80.1%,67.5%,83.5%,13.3%,10.4%,13.3%,58.2%,52.0%,"35,129","107,123","489,711","12,796","222,118","$4,748",29.1,"$46,169","$25,091",12.1%,647,"6,305","188,327",12.5%,"2,849","2,843","1,615",984,158,"2,611",323,"2,439",0.0%,0.0%,0.0%,0.0%,0.0%,19.9%,105.6,448.86,"STOKES COUNTY, NORTH CAROLINA",37169
1969,NORTH CAROLINA,SURRY COUNTY,"71,948",-2.4%,"73,743","73,673",5.3%,21.1%,20.5%,51.4%,93.1%,4.2%,0.7%,0.7%,0.1%,1.3%,10.8%,83.6%,"4,152",5.3%,"34,264",72.2%,"$121,000","$1,042",$325,$620,6.9%,159,"28,985",2.45,93.3%,9.3%,77.3%,62.6%,78.3%,16.8%,15.2%,14.7%,55.0%,49.8%,"105,381","411,631","967,760","396,133","1,067,104","$14,506",24.8,"$41,068","$23,957",16.0%,"1,650","27,896","1,092,774",1.1%,"4,851","5,681","3,312","1,677",397,"5,087",389,"5,035",0.0%,0.0%,0.0%,0.0%,3.0%,24.3%,138.4,532.17,"SURRY COUNTY, NORTH CAROLINA",37171
1970,NORTH CAROLINA,SWAIN COUNTY,"14,245",1.9%,"13,984","13,981",6.8%,22.1%,19.2%,51.8%,63.5%,1.2%,29.8%,0.7%,,4.7%,5.5%,61.3%,761,2.7%,"9,065",71.4%,"$123,200","$1,085",$251,$634,7.4%,65,"5,443",2.57,89.9%,4.9%,66.5%,50.9%,78.3%,16.0%,12.5%,18.3%,53.5%,50.5%,"49,985","89,297",,,"107,087","$7,573",18.1,"$36,773","$20,984",15.2%,364,"3,704","119,516",0.6%,"1,308","1,589",668,647,471,"1,052",170,"1,356",0.0%,17.9%,0.0%,0.0%,0.0%,34.0%,26.5,528.00,"SWAIN COUNTY, NORTH CAROLINA",37173
1971,NORTH CAROLINA,TRANSYLVANIA COUNTY,"34,215",3.4%,"33,091","33,090",4.1%,15.6%,30.5%,51.7%,93.4%,3.6%,0.4%,0.7%,0.1%,1.9%,3.5%,90.2%,"3,316",3.8%,"19,723",76.8%,"$211,300","$1,207",$354,$720,6.8%,128,"14,123",2.28,86.7%,4.8%,89.1%,78.3%,88.6%,31.5%,10.4%,15.3%,50.0%,47.1%,"68,533","148,670","61,066",,"311,288","$9,476",25.2,"$46,629","$27,050",12.8%,832,"7,801","246,840",2.7%,"3,247","3,488","1,908","1,153",215,"3,172",257,"3,018",0.0%,0.0%,0.0%,0.0%,0.0%,17.3%,87.4,378.53,"TRANSYLVANIA COUNTY, NORTH CAROLINA",37175
1972,NORTH CAROLINA,TYRRELL COUNTY,"4,131",-6.3%,"4,407","4,407",5.4%,18.6%,19.3%,44.5%,56.7%,38.1%,1.0%,2.2%,,2.0%,9.0%,49.5%,402,2.5%,"2,092",71.8%,"$109,900","$1,060",$363,$729,4.3%,3,"1,631",2.1,84.7%,8.0%,73.0%,60.9%,75.5%,9.7%,15.5%,17.0%,45.5%,57.0%,,,"9,593",,"35,975","$8,293",30.2,"$35,472","$18,682",25.2%,76,512,"15,160",10.8%,289,397,233,96,48,333,45,334,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.3,389.04,"TYRRELL COUNTY, NORTH CAROLINA",37177
1973,NORTH CAROLINA,UNION COUNTY,"235,908",17.2%,"201,334","201,292",5.7%,26.8%,12.7%,50.8%,81.6%,12.3%,0.6%,3.4%,0.1%,2.0%,11.4%,71.6%,"11,962",9.0%,"82,557",80.5%,"$229,200","$1,533",$435,$984,5.3%,"1,634","75,165",2.99,88.1%,14.2%,93.3%,89.2%,89.8%,34.8%,6.3%,10.5%,67.5%,59.8%,"192,873","533,877","3,645,446","1,449,136","1,943,631","$9,321",29.5,"$75,397","$34,379",7.0%,"4,747","55,898","2,201,702",3.9%,"18,688","17,701","10,054","5,541","2,977","14,176","1,743","15,167",4.9%,0.2%,1.8%,0.0%,2.9%,24.4%,318.7,631.52,"UNION COUNTY, NORTH CAROLINA",37179
1974,NORTH CAROLINA,VANCE COUNTY,"44,582",-1.8%,"45,419","45,422",6.2%,23.6%,18.5%,53.3%,45.2%,51.5%,0.9%,0.8%,0.1%,1.6%,8.0%,39.2%,"2,287",4.9%,"20,160",59.7%,"$97,700","$1,083",$366,$687,10.5%,44,"16,854",2.59,87.4%,7.4%,79.4%,65.7%,80.0%,12.9%,13.9%,12.1%,58.4%,55.8%,"56,983","204,965","756,187",,"527,895","$11,697",23.7,"$37,282","$23,211",26.3%,859,"13,779","470,901",5.8%,"2,296","2,930","1,538","1,074","1,125","1,677",354,"2,438",25.9%,0.0%,0.0%,0.0%,0.0%,28.5%,179.2,253.52,"VANCE COUNTY, NORTH CAROLINA",37181
1975,NORTH CAROLINA,WAKE COUNTY,"1,092,305",21.2%,"901,058","900,993",6.2%,23.9%,11.6%,51.3%,68.1%,21.0%,0.8%,7.5%,0.1%,2.5%,10.3%,59.8%,"51,410",13.2%,"441,817",63.9%,"$265,800","$1,612",$506,"$1,102",26.6%,"12,664","390,498",2.62,82.2%,16.9%,95.5%,89.7%,92.7%,51.8%,5.8%,10.0%,70.4%,64.6%,"2,165,178","5,110,378","13,105,152","18,602,580","14,359,328","$15,081",25.1,"$76,956","$39,102",8.4%,"29,406","468,449","25,591,813",3.3%,"91,077","92,382","48,936","32,914","24,275","64,622","9,507","78,368",12.0%,0.4%,4.8%,0.0%,3.8%,28.6%,"1,078.8",835.22,"WAKE COUNTY, NORTH CAROLINA",37183
1976,NORTH CAROLINA,WARREN COUNTY,"19,807",-5.8%,"21,028","20,972",4.8%,18.4%,25.4%,50.6%,40.5%,51.5%,5.6%,0.4%,,2.0%,3.8%,38.2%,"1,514",3.2%,"12,022",72.5%,"$95,000","$1,085",$371,$602,3.8%,55,"7,780",2.45,89.1%,4.1%,73.5%,55.9%,80.5%,15.5%,13.8%,16.4%,47.7%,47.5%,"8,908","19,962","128,855","10,205","72,351","$3,516",28.4,"$35,962","$22,461",19.8%,261,"1,996","58,223",-10.0%,"1,017","1,031",571,379,417,580,162,821,36.1%,0.0%,0.0%,0.0%,0.0%,23.1%,48.9,428.46,"WARREN COUNTY, NORTH CAROLINA",37185
1977,NORTH CAROLINA,WASHINGTON COUNTY,"11,859",-10.2%,"13,209","13,228",5.2%,20.0%,24.4%,52.5%,48.0%,48.8%,1.0%,0.4%,,1.8%,5.8%,44.3%,809,2.5%,"6,458",63.2%,"$85,000","$1,106",$432,$646,8.0%,5,"5,073",2.37,91.8%,3.4%,71.6%,58.1%,79.9%,11.3%,16.8%,13.1%,47.9%,41.4%,,"34,741","394,643","174,124","127,671","$10,024",24.8,"$35,512","$21,043",21.1%,221,"2,829","113,943",-3.5%,589,865,395,370,199,597,221,573,22.6%,0.0%,0.0%,0.0%,0.0%,31.5%,38.0,348.14,"WASHINGTON COUNTY, NORTH CAROLINA",37187
1978,NORTH CAROLINA,WATAUGA COUNTY,"55,945",9.6%,"51,057","51,079",3.3%,12.8%,15.8%,50.1%,94.8%,1.9%,0.4%,1.2%,,1.6%,3.7%,91.6%,"2,721",3.1%,"34,016",60.6%,"$239,400","$1,371",$357,$807,25.2%,331,"20,355",2.37,76.3%,4.7%,89.1%,80.6%,89.5%,41.6%,7.8%,14.2%,56.2%,53.7%,"142,099","624,851","107,955","140,238","762,864","$14,707",20.2,"$45,268","$24,906",21.2%,"1,624","18,141","592,616",2.5%,"4,962","6,304","3,514","1,630",319,"5,727",675,"5,247",0.0%,0.0%,0.0%,0.0%,0.0%,21.7%,163.4,312.56,"WATAUGA COUNTY, NORTH CAROLINA",37189
1979,NORTH CAROLINA,WAYNE COUNTY,"123,248",0.5%,"122,673","122,623",6.6%,23.7%,16.4%,51.4%,62.9%,32.3%,0.8%,1.3%,0.2%,2.4%,12.3%,53.1%,"12,619",7.7%,"54,474",61.5%,"$121,900","$1,138",$396,$750,13.7%,275,"48,153",2.51,82.9%,13.5%,85.0%,75.9%,84.1%,19.5%,12.2%,15.0%,58.1%,54.7%,"161,664","606,558","1,691,320","1,244,827","1,557,491","$12,536",22.0,"$42,192","$24,124",20.2%,"2,175","33,960","1,165,361",-0.8%,"6,393","7,136","3,839","2,486","1,845","4,999",964,"5,594",15.5%,0.0%,3.4%,0.0%,1.1%,28.0%,221.7,553.09,"WAYNE COUNTY, NORTH CAROLINA",37191
1980,NORTH CAROLINA,WILKES COUNTY,"68,557",-1.1%,"69,310","69,340",5.0%,20.5%,21.6%,50.8%,92.8%,4.7%,0.4%,0.6%,0.1%,1.5%,6.8%,86.9%,"4,466",4.1%,"33,649",74.2%,"$124,000","$1,019",$320,$625,7.3%,94,"28,355",2.38,92.1%,6.3%,81.4%,71.3%,78.6%,15.5%,12.9%,15.7%,55.6%,50.3%,"65,660","233,666","1,156,115",,"1,365,239","$19,699",24.6,"$40,829","$23,745",18.9%,"1,186","19,289","783,967",2.4%,"4,411","5,280","3,274","1,315",377,"4,721",462,"4,512",0.0%,0.0%,0.0%,0.0%,0.0%,22.0%,91.9,754.28,"WILKES COUNTY, NORTH CAROLINA",37193
1981,NORTH CAROLINA,WILSON COUNTY,"81,455",0.3%,"81,218","81,234",5.9%,22.9%,18.3%,52.7%,56.0%,40.4%,0.6%,1.2%,0.1%,1.6%,10.8%,47.0%,"5,400",6.2%,"36,323",59.0%,"$121,300","$1,165",$452,$751,20.0%,234,"32,128",2.48,88.1%,10.4%,82.2%,73.7%,80.3%,19.6%,11.4%,13.8%,59.2%,56.0%,"139,263","408,672","13,159,851",,"992,692","$12,126",21.2,"$42,850","$24,273",21.1%,"1,750","31,152","1,267,514",-2.2%,"4,754","5,990","3,099","2,183","1,834","3,784",614,"4,905",16.6%,0.0%,0.0%,0.0%,0.0%,27.7%,220.6,368.17,"WILSON COUNTY, NORTH CAROLINA",37195
1982,NORTH CAROLINA,YADKIN COUNTY,"37,543",-2.3%,"38,409","38,406",5.2%,20.8%,20.2%,50.8%,93.9%,3.5%,0.7%,0.5%,0.1%,1.3%,11.2%,84.1%,"2,371",5.0%,"17,411",76.7%,"$125,800","$1,019",$334,$625,4.1%,57,"15,448",2.42,91.3%,8.9%,79.8%,68.6%,81.0%,11.3%,11.5%,14.1%,54.2%,48.7%,"34,414","60,395","748,255","87,706","242,856","$6,377",26.5,"$42,876","$23,566",13.0%,613,"8,649","292,280",0.2%,"2,353","3,022","1,862",813,118,"2,805",338,"2,515",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,114.7,334.83,"YADKIN COUNTY, NORTH CAROLINA",37197
1983,NORTH CAROLINA,YANCEY COUNTY,"17,903",0.5%,"17,818","17,818",4.6%,18.3%,25.7%,50.8%,96.5%,1.1%,0.8%,0.3%,0.3%,1.0%,5.5%,92.2%,931,3.1%,"11,259",74.3%,"$149,800",$973,$321,$620,7.5%,39,"7,402",2.37,91.6%,4.4%,74.8%,64.2%,84.2%,20.0%,12.8%,14.7%,52.5%,47.1%,"11,639",,"145,004","3,670","144,943","$8,221",28.0,"$39,888","$23,264",17.8%,330,"3,382","124,528",-1.3%,"1,642","1,715","1,022",495,38,"1,606",233,"1,331",0.0%,0.0%,0.0%,0.0%,0.0%,26.2%,57.0,312.60,"YANCEY COUNTY, NORTH CAROLINA",37199
1984,NORTH DAKOTA,ADAMS COUNTY,"2,294",-2.1%,"2,343","2,343",5.1%,19.0%,27.9%,50.5%,93.5%,0.8%,0.6%,3.2%,,1.8%,1.4%,92.2%,119,3.1%,"1,435",72.5%,"$148,800","$1,161",$456,$544,18.3%,,"1,046",2.18,90.6%,4.3%,86.4%,78.4%,95.5%,28.6%,5.1%,10.1%,63.6%,55.1%,,,,"120,565","43,133","$18,664",13.5,"$54,875","$33,652",10.4%,101,801,"27,629",-0.2%,184,333,130,134,,312,,308,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.4,987.62,"ADAMS COUNTY, NORTH DAKOTA",38001
1985,NORTH DAKOTA,BARNES COUNTY,"10,542",-4.7%,"11,064","11,066",5.3%,20.0%,22.8%,49.6%,94.6%,1.6%,1.2%,0.9%,0.1%,1.6%,2.1%,92.9%,803,1.7%,"6,028",68.8%,"$118,800","$1,072",$409,$677,22.4%,7,"5,085",2.02,87.0%,3.0%,86.0%,76.3%,91.4%,27.2%,9.6%,8.0%,66.5%,60.6%,"14,131","53,396",,"329,613","121,730","$11,051",16.6,"$57,064","$33,868",12.3%,359,"3,603","122,124",-8.9%,926,"1,005",514,351,,884,95,795,0.0%,0.0%,0.0%,0.0%,0.0%,9.1%,7.4,"1,491.55","BARNES COUNTY, NORTH DAKOTA",38003
1986,NORTH DAKOTA,BENSON COUNTY,"6,962",4.5%,"6,660","6,660",11.0%,35.4%,13.9%,48.9%,42.1%,0.4%,55.3%,0.2%,,2.0%,3.5%,41.1%,327,0.5%,"3,037",65.3%,"$73,600","$1,016",$369,$433,12.2%,,"2,285",3.01,93.2%,5.5%,75.8%,56.9%,84.5%,15.6%,10.3%,13.6%,53.4%,54.0%,,"1,465",,"228,879","12,279","$1,816",17.9,"$44,313","$21,407",30.8%,83,"1,024","30,915",-1.8%,278,251,136,78,85,147,,211,0.0%,19.2%,0.0%,0.0%,0.0%,28.2%,4.8,"1,388.71","BENSON COUNTY, NORTH DAKOTA",38005
1987,NORTH DAKOTA,BILLINGS COUNTY,919,17.2%,784,783,7.5%,20.3%,22.4%,45.5%,93.9%,0.7%,0.3%,4.5%,0.0%,0.7%,2.0%,92.4%,33,3.2%,570,73.2%,"$181,600","$1,217",$344,$950,11.0%,7,385,2.38,95.4%,4.3%,76.6%,68.1%,88.8%,26.3%,6.8%,13.5%,70.2%,61.8%,"18,977",,,,,,25.2,"$92,604","$45,523",9.0%,58,363,"24,954",27.4%,109,158,31,,,156,,115,0.0%,0.0%,0.0%,0.0%,0.0%,12.8%,0.7,"1,148.85","BILLINGS COUNTY, NORTH DAKOTA",38007
